Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links,Lease Type,Minimum Rental Period,Prepayment,Utility Payments
Everything Else,Stone,50 sq.m.,By agreement,Not available,Second Line,Separate from the Courtyard,Syunik › Sisian,"$16,000",USD,"A space is for sale on the first floor of a residential building (Shirvanzade 2a building, branded) The space needs renovation.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/18026656,,,,
Retail Space,Stone,100 sq.m.,Not available,Not available,First Line,Separate from the Street,"Սյունիքի փողոց 12, Գորիս","$63,000",USD,"In the center of Goris, next to VTB Bank, on the first floor of a residential building, a commercial space is for sale.Can be used as a home, office, production container, shop, etc.It has all utilities, also three-phase current.The total area is 100 square meters, with three rooms: Two small and one large room, with a bathroom.If desired, it will also be given for rent.The price is negotiable.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/18285035,,,,
Industrial and Manufacturing,Bricks,4500 sq.m.,,,,,Syunik › Sarnakunk,"$300,000",USD,"An area of 1,500 square meters equipped with equipment for the production of milk and dairy products.About 2000 square meters of free space for organizing other production, has an administrative building, gas, electricity, water. The land is 1.7 square meters, fenced. If you have any questions, call.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/16620101,,,,
Restaurant,Stone,400 sq.m.,,,,,Syunik › Sisian,"$37,000",USD,"Restaurant, in Uyts community of Sisian. Details by phone, negotiableTranslated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17564595,,,,
Functioning Business,Monolith,45 sq.m.,Available,Not available,First Line,Separate from the Street,"Tumanyan St , Kapan","$15,500",USD,"The shop is located on Tumanyan Street, first line, it is completely renovated, fully furnished for trade, the total land area is 45 square meters, the building is 20 square meters, the land and the building have a certificate of ownership and an address, it has 90 square meters to build a two-story shopping center. M. Documentary permission. Sold all inclusive.Syunik, Kapan, area, shop, center.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/10861150,,,,
Industrial and Manufacturing,Panels,1360 sq.m.,,,,,Syunik › Kapan,"$90,000",USD,The buildings are for rent.Price is negotiableTranslated from Armenian,Nov-24-2022_21-59,,https://list.am/en/item/15715942,,,,
Everything Else,Stone,54 sq.m.,,,,,"Մեսրոպ Մաշտոցի փողոց 169, Գորիս","$50,000",USD,For information call ․․․Translated from Armenian,Nov-24-2022_21-59,,https://list.am/en/item/17936770,,,,
Multifunctional Space,Stone,2000 sq.m.,Not available,Not available,Other,Common from the Street,Syunik › Kapan,"$50,000",USD,"The land is completely fenced, it is provided with drinking and irrigation water, it has three-phase electricity.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/16486468,,,,
Industrial and Manufacturing,Stone,2100 sq.m.,,,,,Syunik › Kapan,"$200,000",USD,"The building is located on Gortsaranain Street, 5 warehouses, office, guard post. Adjacent to the CombineTranslated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/16846370,,,,
Industrial and Manufacturing,Stone,"20,000 sq.m.",,,,,Syunik › Goris,"$600,000",USD,"A production area is for sale, where an asphalt factory, gravel production, workshops, substation storage areas are located. With a total area of 2 hectares.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17716377,,,,
Automotive Service,Stone,108 sq.m.,,,,,"Adonts St, Sisian","$50,000",USD,"Sold together with equipment, three-phaseTranslated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/15604088,,,,
Functioning Business,Wooden,5500 sq.m.,,,,,Syunik › Goris,"$100,000",USD,Zip Line recreation area cafe near Satan Bridge is also for rentTranslated from Armenian,Nov-24-2022_21-59,,https://list.am/en/item/14047056,,,,
Functioning Business,Stone,431 sq.m.,,,,,Syunik › Karchevan,"$245,000",USD,"Realty Consult ID` K 524:CNG filling station for saleSyunik, Karchjan community.Land: 2660 sq. M.A total of 8 buildings, 431 square meters: Waiting room, cafe, warehouses, auxiliary structures.PRICE: $ 245,000.The real estate is equipped with the following engineering networks and communications: Gas, water, sewerage, electricity.The land is flat, asphalted and improved.Technical condition of the buildingThe building is in sufficient technical condition and are subjectTranslated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17650542,,,,
Industrial and Manufacturing,Panels,3794 sq.m.,By agreement,Not available,Other,Common from the Street,"Spandaryan Street, Kapan","38,700,000 ֏",AMD,"Վաճառվում է կոմերցիոն տարածք Կապանում Սպանդարյան 41/2/1: Տարածքը գտնվում է Կապան-Երևան միջպետական ճանապարհի հարևանությամբ: Տարածքի ընդհանուր մակերեսը 3794 ք/մ է, որում առկա է արտադրական շինություն: Տարածքը ամբողջությամբ պարսպապատ է: Ապաահովված է եռաֆազ հոսանքով: Հարմար է օգտագործել տարատեսակ կոմերցիոն նպատակներով:",Nov-24-2022_21-59,"OUtdoor parking, covered parking",https://list.am/en/item/14305190,,,,
Industrial and Manufacturing,Stone,100 sq.m.,,,,,Syunik › Meghri,"3,000,000 ֏",AMD,"The building is suitable for storage, dryer and refrigerator.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/14884549,,,,
Multifunctional Space,Stone,2000 sq.m.,,,,,"Hunan Avetisyan street, Kapan","$220,000",USD,"The area has all the amenities for the restaurant-hotel complex (large-small hall, hotel rooms, banquets, kitchen with all amenities) Used as a restaurant, hotel, billiard-word. The area also includes vacant land. It is for rent. Call the listed phone numbers for details.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/16480250,,,,
Building,Panels,300 sq.m.,,,,,Syunik › Shinuhayr,"25,000,000 ֏",AMD,"A three-storey building is for sale in Shinuhair village, near the Tat ropeway. The building is suitable for a hotel, a shopping mall and other activities.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17825922,,,,
Retail Space,Stone,98 sq.m.,,,,,"Aram Manukyan street 3, Kapan","$92,000",USD,"It has a two-way entrance, it is renovatedTranslated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/16095503,,,,
Agricultural Space,Stone,3000 sq.m.,,,,,Syunik › Kapan,"$35,000",USD,"The area includes: Guard post, garage, warehouse, closed grass, cattle barn. It is located 100m away from the Kapan-Yerevan highway. For details, call the indicated phone numbers.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/18157189,,,,
Retail Space,Bricks,15 sq.m.,Not available,Not available,First Line,Common from the Street,Syunik › Kapan,"7,800,000 ֏",AMD,The existing commercial space is currently leased.An exchange with an apartment is possibleTranslated from Armenian,Nov-24-2022_21-59,,https://list.am/en/item/15682250,,,,
Retail Space,Stone,45 sq.m.,,,,,"Սիսիական փողոց 39, Սիսիան","7,500,000 ֏",AMD,"A 37 square meter stone building built on a 45 square meter plot of land is for sale at 46/80 Sisakan Street. Renovated, bathroom available.The space is currently used as a shopping mall.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/18261775,,,,
Retail Space,Stone,34 sq.m.,,,,,Syunik › Sisian,"$41,000",USD,"The store is located in the city center. Has all the utilities. Suitable for business service. For questions, contact the Real Estate Agency at: C. Sisian N. 1/1 of Adonts.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17521703,,,,
Retail Space,Stone,38 sq.m.,,,,,Syunik › Sisian,"$17,000",USD,"The area is located in c. Sisian Israel Ori street, on the ground floor of a 5-storey stone building. The area has the possibility to increase the area. It has not been renovated, but there are all the communal facilities.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17833727,,,,
Multifunctional Space,Panels,40 sq.m.,,,,,"Davit Bek street 7, Kapan","$25,000",USD,"40 sq. M. For sale. Commercial area, located in Davit-Bek district. On the first floor of the 7th building. It is capitally renovated. It is suitable for any kind of business initiative (grocery store, office, pharmacy...) Price: $ 25,000, if you wish, callTranslated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/15706419,,,,
Industrial and Manufacturing,Stone,695 sq.m.,,,,,Syunik › Kapan,"$110,000",USD,"Commercial area-building for sale in the center of Kapan, near the church.Building - 156 square metersLand - 695 square metersThere is water, three-phase electricityTranslated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17727352,,,,
Everything Else,Panels,1722 sq.m.,Not available,Not available,Other,Separate from the Courtyard,Syunik › Bardzravan,"2,187,593 ֏",AMD,"Գույքը հանդիսանում է Բանկի գրավ, որը գտնվում է ՀԿԱԾ աճուրդում:Սյունիքի մարզ, Բարձրավան համայնք, Չիման անվանյալ տարածք, թիվ 1 հասցեի անասնաշենք՝ 1722քմ, հողամաս՝ 18707քմ։ Շինության տիպը՝ երկաթբետոնե հավաքովի կոնստրուկցիաներ, պատերը՝ բետոնյա սալեր, տանիքը՝ քայքայված, փաստացի բացակայում է, մի դուռը՝ փայտյա, մյուս դռները և պատուհանները բացակայում են, պատերը՝ սվաղված, հատակը՝ բետոն, քանդված տեղամասերով, արտաքին հարդարումը՝ վատ, ներքին հարդարումը բացակայում է, ունի էլ. Հոսանք, ջուր:Ներկայացվող գույքը կարող եք ձեռք բերել նաև Բանկի կողմից վարկավորման միջոցով՝ տվյալ պահին գործող վարկավորման պայմաններով և սակագներով:",Nov-24-2022_21-59,,https://list.am/en/item/16955413,,,,
Hotel,Stone,2800 sq.m.,,,,,Syunik › Goris,"$2,000,000",USD,"Code-13996. A hotel-restaurant complex is for sale in the city of Goris. There are 20 hotel rooms, a restaurant, an open-air cafe, a wine house, a wedding hall, a beautiful landscaped yard.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/18091222,,,,
Office Space,Stone,57 sq.m.,,,,,"Aram Manukyan street 1, Kapan","$38,000",USD,"A building in a children's park is for sale. There is water, heated by an air conditioner.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17889097,,,,
